Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-90 411 435
-123 438 413
-151 451 401
-172 459 389
-191 467 377
-202 479 372
-211 485 359
-218 488 357
-224 489 351
-232 491 343
-236 499 340
-244 506 327
-257 514 315
-268 522 302
-284 533 279
-295 542 260
-307 550 241
-316 558 229
-321 566 218
-324 572 201
-328 578 190
-333 585 177
-338 589 165
-345 593 157
-346 590 152
-353 589 147
-350 597 146
-341 603 139
-333 608 140
-336 607 141
-326 614 132
-316 623 124
-314 624 121
-313 630 118
-306 634 112
-299 637 110
-292 641 107
-289 640 105
-288 643 105
-284 649 99
-285 652 88
-283 657 79
-287 661 73
-294 661 65
-303 663 58
-312 662 49
-321 663 43
-327 661 37
-341 662 22
-343 663 10
-354 664 0
-365 659 -5
-369 660 -16
-379 659 -22
-390 659 -39
-405 653 -54
-421 649 -74
-448 638 -86
-469 629 -97
-490 616 -108
-510 605 -115
-531 591 -122
-552 576 -130
-573 560 -141
-591 542 -151
-613 525 -165
-631 505 -182
-646 482 -202
-665 457 -230
-670 441 -262
-666 438 -296
-662 435 -323
-647 435 -355
-632 446 -388
-617 448 -413
-605 456 -435
-588 459 -462
-567 463 -480
-548 475 -498
-525 483 -513
-497 498 -526
-464 508 -551
-420 519 -575
-366 521 -606
-315 522 -634
-257 515 -657
-202 503 -690
-142 484 -715
-92 464 -729
-52 442 -744
-7 417 -754
34 391 -761
64 365 -769
93 342 -772
123 318 -773
144 313 -764
168 294 -764
189 284 -757
213 267 -749
238 244 -738
260 233 -733
276 220 -724
292 212 -715
301 205 -705
312 197 -701
325 195 -692
331 190 -686
341 182 -679
347 180 -672
353 172 -672
363 177 -662
361 183 -658
367 189 -653
376 189 -642
382 200 -631
390 212 -619
400 225 -600
417 237 -572
419 272 -555
409 313 -536
421 330 -502
436 335 -470
444 336 -444
458 341 -419
467 338 -393
475 332 -363
487 325 -335
499 314 -298
520 301 -260
523 280 -218
535 260 -177
539 235 -128
539 208 -89
538 179 -45
534 149 4
528 121 45
517 84 87
503 52 112
487 21 140
471 -15 162
451 -46 180
430 -82 203
403 -113 220
377 -144 243
353 -159 262
337 -165 273
326 -168 284
315 -171 290
309 -168 294
297 -167 307
293 -165 312
287 -165 322
275 -160 331
265 -159 338
251 -159 355
236 -156 365
218 -167 372
201 -178 383
194 -194 375
181 -213 372
175 -229 365
169 -246 356
155 -265 352
146 -279 343
139 -291 335
135 -306 332
127 -317 322
120 -328 318
114 -338 312
111 -349 303
102 -358 295
101 -370 282
94 -386 268
84 -400 252
77 -420 226
64 -440 200
50 -461 175
34 -478 152
14 -490 136
-2 -498 113
-18 -510 97
-28 -518 84
-39 -519 66
-51 -527 55
-60 -534 39
-65 -537 26
-70 -541 11
-67 -542 -1
-70 -549 -14
-69 -544 -22
-70 -550 -34
-72 -549 -48
-71 -554 -58
-74 -555 -73
-72 -557 -87
-70 -558 -100
-69 -560 -121
-62 -561 -134
-56 -560 -149
-54 -559 -167
-44 -556 -180
-40 -560 -194
-30 -559 -207
-17 -555 -215
-12 -555 -223
6 -553 -229
16 -553 -236
24 -553 -237
35 -545 -238
51 -546 -238
64 -544 -238
73 -540 -237
78 -543 -234
72 -542 -224
48 -549 -202
56 -548 -191
60 -543 -190
58 -546 -190
61 -545 -182
54 -549 -172
52 -551 -165
56 -548 -151
47 -546 -144
41 -547 -130
44 -550 -117
