Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124750.020	1436446070020	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.072	1436446070072	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.122	1436446070122	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.173	1436446070173	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.220	1436446070220	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.271	1436446070271	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.322	1436446070322	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.372	1436446070372	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.420	1436446070420	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.470	1436446070470	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.522	1436446070522	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.571	1436446070571	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.620	1436446070620	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.670	1436446070670	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124750.719	1436446070719	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
